data,tipo,categoria,valor,cliente_projeto,fonte,gestao
2019-02-04,ENTRADA,rendimento automático,2.56,,18_19.xlsx,18_19
2019-02-05,ENTRADA,rendimento automático,3.42,,18_19.xlsx,18_19
2019-02-07,ENTRADA,rendimento automático,5.36,,18_19.xlsx,18_19
2019-02-11,ENTRADA,rendimento automático,20.86,,18_19.xlsx,18_19
2019-02-12,ENTRADA,rendimento automático,1.08,,18_19.xlsx,18_19
2019-02-22,ENTRADA,rendimento automático,8.86,,18_19.xlsx,18_19
2019-02-25,ENTRADA,não categorizado,38.62,,18_19.xlsx,18_19
2019-02-28,ENTRADA,não categorizado,54.23,,18_19.xlsx,18_19
2019-03-06,ENTRADA,não categorizado,0.47,,18_19.xlsx,18_19
2019-03-07,ENTRADA,rendimento automático,0.24,,18_19.xlsx,18_19
2019-03-08,ENTRADA,projeto,1439.9,Cliente 003,18_19.xlsx,18_19
2019-03-11,ENTRADA,projeto,1959.59,Cliente 013,18_19.xlsx,18_19
2019-03-15,ENTRADA,rendimento automático,2.34,,18_19.xlsx,18_19
2019-03-21,ENTRADA,projeto,1439.9,Cliente 003,18_19.xlsx,18_19
2019-03-25,ENTRADA,rendimento automático,8.28,,18_19.xlsx,18_19
2019-03-27,ENTRADA,rendimento automático,7.17,,18_19.xlsx,18_19
2019-04-01,ENTRADA,rendimento automático,24.31,,18_19.xlsx,18_19
2019-04-02,ENTRADA,rendimento automático,0.53,,18_19.xlsx,18_19
2019-04-04,ENTRADA,rendimento automático,0.43,,18_19.xlsx,18_19
2019-04-10,ENTRADA,não categorizado,2.8,,18_19.xlsx,18_19
2019-04-16,ENTRADA,rendimento automático,15.07,,18_19.xlsx,18_19
2019-04-22,ENTRADA,rendimento automático,26.16,,18_19.xlsx,18_19
2019-04-24,ENTRADA,projeto,250.0,Cliente 093,18_19.xlsx,18_19
2019-04-24,ENTRADA,rendimento automático,10.36,,18_19.xlsx,18_19
2019-04-25,ENTRADA,rendimento automático,25.61,,18_19.xlsx,18_19
2019-04-29,ENTRADA,rendimento automático,30.29,,18_19.xlsx,18_19
2019-04-30,ENTRADA,rendimento automático,11.41,,18_19.xlsx,18_19
2019-05-03,ENTRADA,não categorizado,0.44,,18_19.xlsx,18_19
2019-05-06,ENTRADA,rendimento automático,5.7,,18_19.xlsx,18_19
2019-05-07,ENTRADA,projeto,650.0,Cliente 071,18_19.xlsx,18_19
2019-05-20,ENTRADA,projeto,1000.0,Cliente 053,18_19.xlsx,18_19
2019-05-21,ENTRADA,projeto,1400.0,Cliente 010,18_19.xlsx,18_19
2019-05-22,ENTRADA,projeto,2879.8,Cliente 003,18_19.xlsx,18_19
2019-05-24,ENTRADA,rendimento automático,15.29,,18_19.xlsx,18_19
2019-05-28,ENTRADA,projeto,400.0,Cliente 076,18_19.xlsx,18_19
2019-05-28,ENTRADA,projeto,300.0,Cliente 091,18_19.xlsx,18_19
2019-05-28,ENTRADA,rendimento automático,15.99,,18_19.xlsx,18_19
2019-05-30,ENTRADA,rendimento automático,7.08,,18_19.xlsx,18_19
2019-06-05,ENTRADA,projeto,540.0,Cliente 001,18_19.xlsx,18_19
2019-06-05,ENTRADA,projeto,549.8,Cliente 001,18_19.xlsx,18_19
2019-06-06,ENTRADA,projeto,500.0,Cliente 083,18_19.xlsx,18_19
2019-06-07,ENTRADA,projeto,500.0,Cliente 035,18_19.xlsx,18_19
2019-06-10,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-06-10,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-06-11,ENTRADA,projeto,640.0,Cliente 028,18_19.xlsx,18_19
2019-06-11,ENTRADA,projeto,2600.0,Cliente 010,18_19.xlsx,18_19
2019-06-19,ENTRADA,projeto,1500.0,Cliente 043,18_19.xlsx,18_19
2019-06-28,ENTRADA,rendimento automático,7.67,,18_19.xlsx,18_19
2019-07-02,ENTRADA,rendimento automático,0.55,,18_19.xlsx,18_19
2019-07-03,ENTRADA,projeto,580.0,Cliente 073,18_19.xlsx,18_19
2019-07-09,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-07-10,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-07-10,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-07-11,ENTRADA,projeto,320.0,Cliente 028,18_19.xlsx,18_19
2019-07-11,ENTRADA,projeto,750.0,Cliente 065,18_19.xlsx,18_19
2019-07-24,ENTRADA,rendimento automático,26.73,,18_19.xlsx,18_19
2019-07-26,ENTRADA,rendimento automático,24.44,,18_19.xlsx,18_19
2019-08-01,ENTRADA,projeto,797.61,,18_19.xlsx,18_19
2019-08-02,ENTRADA,não categorizado,13.52,,18_19.xlsx,18_19
2019-08-07,ENTRADA,projeto,7835.66,,18_19.xlsx,18_19
2019-08-07,ENTRADA,projeto,310.0,,18_19.xlsx,18_19
2019-08-09,ENTRADA,projeto,320.0,,18_19.xlsx,18_19
2019-08-09,ENTRADA,projeto,320.0,,18_19.xlsx,18_19
2019-08-12,ENTRADA,projeto,320.0,,18_19.xlsx,18_19
2019-08-14,ENTRADA,não categorizado,1.11,,18_19.xlsx,18_19
2019-08-14,ENTRADA,projeto,320.0,,18_19.xlsx,18_19
2019-08-15,ENTRADA,rendimento automático,41.55,,18_19.xlsx,18_19
2019-08-19,ENTRADA,projeto,1000.0,Cliente 055,18_19.xlsx,18_19
2019-08-20,ENTRADA,rendimento automático,5.66,,18_19.xlsx,18_19
2019-08-22,ENTRADA,rendimento automático,5.14,,18_19.xlsx,18_19
2018-09-04,SAÍDA,taxa do banco,55.0,,18_19.xlsx,18_19
2018-09-04,SAÍDA,não categorizado,2.1,,18_19.xlsx,18_19
2018-09-05,SAÍDA,custo de projeto,390.74,Cliente 001,18_19.xlsx,18_19
2018-09-05,SAÍDA,custo de projeto,82.93,,18_19.xlsx,18_19
2018-09-06,SAÍDA,jurídico,600.0,,18_19.xlsx,18_19
2018-09-06,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-11,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-11,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-11,SAÍDA,não categorizado,120.0,,18_19.xlsx,18_19
2018-09-11,SAÍDA,membro,424.2,,18_19.xlsx,18_19
2018-09-11,SAÍDA,capacitação,1200.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-12,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-12,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-12,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-12,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-12,SAÍDA,não categorizado,100.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-12,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-14,SAÍDA,custo de projeto,1933.8,Cliente 001,18_19.xlsx,18_19
2018-09-14,SAÍDA,custo de projeto,270.85,Cliente 001,18_19.xlsx,18_19
2018-09-19,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-19,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-19,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-19,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-19,SAÍDA,custo de projeto,28.58,,18_19.xlsx,18_19
2018-09-20,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,marketing,94.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,custo de projeto,73.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,evento mej,480.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,evento mej,480.0,,18_19.xlsx,18_19
2018-09-20,SAÍDA,servidor,368.87,,18_19.xlsx,18_19
2018-09-20,SAÍDA,jurídico,16.0,,18_19.xlsx,18_19
2018-09-25,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-25,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-25,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-25,SAÍDA,custo de projeto,97.37,Cliente 001,18_19.xlsx,18_19
2018-09-25,SAÍDA,custo de projeto,89.9,Cliente 001,18_19.xlsx,18_19
2018-09-25,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-27,SAÍDA,custo de vendas,301.14,,18_19.xlsx,18_19
2018-09-27,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-27,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-09-27,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-09-27,SAÍDA,não categorizado,114.78,,18_19.xlsx,18_19
2018-09-27,SAÍDA,evento mej,340.0,,18_19.xlsx,18_19
2018-10-02,SAÍDA,taxa do banco,55.0,,18_19.xlsx,18_19
2018-10-03,SAÍDA,contador,477.0,,18_19.xlsx,18_19
2018-10-03,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-10-03,SAÍDA,imposto,471.02,,18_19.xlsx,18_19
2018-10-03,SAÍDA,imposto,237.18,,18_19.xlsx,18_19
2018-10-09,SAÍDA,evento mej,361.8,,18_19.xlsx,18_19
2018-10-09,SAÍDA,evento mej,361.8,,18_19.xlsx,18_19
2018-10-11,SAÍDA,sede,80.0,,18_19.xlsx,18_19
2018-10-15,SAÍDA,material,192.0,,18_19.xlsx,18_19
2018-10-15,SAÍDA,custo de projeto,1478.0,Cliente 001,18_19.xlsx,18_19
2018-10-15,SAÍDA,não categorizado,435.08,,18_19.xlsx,18_19
2018-10-18,SAÍDA,imersão,650.0,,18_19.xlsx,18_19
2018-10-18,SAÍDA,material,192.0,,18_19.xlsx,18_19
2018-10-18,SAÍDA,imersão,1286.91,,18_19.xlsx,18_19
2018-10-19,SAÍDA,imersão,750.0,,18_19.xlsx,18_19
2018-10-19,SAÍDA,imersão,500.0,,18_19.xlsx,18_19
2018-10-19,SAÍDA,sede,2279.05,,18_19.xlsx,18_19
2018-10-23,SAÍDA,imersão,72.42,,18_19.xlsx,18_19
2018-10-23,SAÍDA,imersão,700.0,,18_19.xlsx,18_19
2018-10-23,SAÍDA,custo de vendas,46.12,,18_19.xlsx,18_19
2018-10-23,SAÍDA,capacitação,780.86,,18_19.xlsx,18_19
2018-10-23,SAÍDA,custo de vendas,64.9,,18_19.xlsx,18_19
2018-10-23,SAÍDA,capacitação,23.99,,18_19.xlsx,18_19
2018-10-23,SAÍDA,imersão,130.8,,18_19.xlsx,18_19
2018-10-23,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-10-23,SAÍDA,custo de projeto,44.76,,18_19.xlsx,18_19
2018-10-23,SAÍDA,custo de vendas,20.0,,18_19.xlsx,18_19
2018-10-23,SAÍDA,imersão,2100.0,,18_19.xlsx,18_19
2018-10-24,SAÍDA,não categorizado,200.0,,18_19.xlsx,18_19
2018-10-29,SAÍDA,custo de projeto,500.0,Cliente 013,18_19.xlsx,18_19
2018-10-29,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-10-31,SAÍDA,não categorizado,270.0,,18_19.xlsx,18_19
2018-10-31,SAÍDA,material,100.0,,18_19.xlsx,18_19
2018-11-05,SAÍDA,material,279.0,,18_19.xlsx,18_19
2018-11-05,SAÍDA,taxa do banco,55.0,,18_19.xlsx,18_19
2018-11-05,SAÍDA,tarifas excedentes,2.1,,18_19.xlsx,18_19
2018-11-08,SAÍDA,jurídico,425.11,,18_19.xlsx,18_19
2018-11-13,SAÍDA,bonificação,252.5,,18_19.xlsx,18_19
2018-11-16,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-11-16,SAÍDA,contador,477.0,,18_19.xlsx,18_19
2018-11-16,SAÍDA,imposto,89.36,,18_19.xlsx,18_19
2018-11-16,SAÍDA,capacitação,295.87,,18_19.xlsx,18_19
2018-11-27,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-11-27,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-11-27,SAÍDA,não categorizado,39.99,,18_19.xlsx,18_19
2018-11-27,SAÍDA,não categorizado,771.98,,18_19.xlsx,18_19
2018-11-27,SAÍDA,sede,83.6,,18_19.xlsx,18_19
2018-11-27,SAÍDA,trimestralidade,453.0,,18_19.xlsx,18_19
2018-12-04,SAÍDA,custo de projeto,500.0,Cliente 013,18_19.xlsx,18_19
2018-12-04,SAÍDA,custo de projeto,1371.42,,18_19.xlsx,18_19
2018-12-04,SAÍDA,imposto,271.46,,18_19.xlsx,18_19
2018-12-11,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-12-11,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2018-12-11,SAÍDA,custo de projeto,2000.0,,18_19.xlsx,18_19
2018-12-18,SAÍDA,não categorizado,80.0,,18_19.xlsx,18_19
2018-12-18,SAÍDA,material,120.0,,18_19.xlsx,18_19
2018-12-18,SAÍDA,não categorizado,75.18,,18_19.xlsx,18_19
2018-12-18,SAÍDA,custo de projeto,600.0,Cliente 054,18_19.xlsx,18_19
2018-12-18,SAÍDA,servidor,53.98,,18_19.xlsx,18_19
2018-12-18,SAÍDA,custo de projeto,40.0,,18_19.xlsx,18_19
2018-12-18,SAÍDA,sede,516.96,,18_19.xlsx,18_19
2018-12-18,SAÍDA,custo de projeto,195.0,,18_19.xlsx,18_19
2018-12-19,SAÍDA,sede,7.9,,18_19.xlsx,18_19
2019-01-03,SAÍDA,taxa do banco,55.0,,18_19.xlsx,18_19
2019-01-14,SAÍDA,tarifas excedentes,10.15,,18_19.xlsx,18_19
2019-01-14,SAÍDA,não categorizado,295.0,,18_19.xlsx,18_19
2019-01-14,SAÍDA,evento mej,282.6,,18_19.xlsx,18_19
2019-01-14,SAÍDA,evento mej,282.6,,18_19.xlsx,18_19
2019-01-14,SAÍDA,evento mej,300.8,,18_19.xlsx,18_19
2019-01-14,SAÍDA,contador,1716.99,,18_19.xlsx,18_19
2019-02-04,SAÍDA,evento mej,260.0,,18_19.xlsx,18_19
2019-02-05,SAÍDA,evento mej,100.0,,18_19.xlsx,18_19
2019-02-05,SAÍDA,evento mej,100.0,,18_19.xlsx,18_19
2019-02-05,SAÍDA,evento mej,85.0,,18_19.xlsx,18_19
2019-02-05,SAÍDA,taxa do banco,55.0,,18_19.xlsx,18_19
2019-02-05,SAÍDA,taxa do banco,3.8,,18_19.xlsx,18_19
2019-02-05,SAÍDA,taxa do banco,2.2,,18_19.xlsx,18_19
2019-02-07,SAÍDA,contador,499.0,,18_19.xlsx,18_19
2019-02-07,SAÍDA,imposto,41.76,,18_19.xlsx,18_19
2019-02-11,SAÍDA,custo de projeto,2122.95,Cliente 001,18_19.xlsx,18_19
2019-02-12,SAÍDA,evento mej,110.0,,18_19.xlsx,18_19
2019-02-22,SAÍDA,evento mej,861.0,,18_19.xlsx,18_19
2019-02-25,SAÍDA,material,136.6,,18_19.xlsx,18_19
2019-02-25,SAÍDA,material,188.0,,18_19.xlsx,18_19
2019-02-25,SAÍDA,material,453.45,,18_19.xlsx,18_19
2019-02-25,SAÍDA,material,1500.0,,18_19.xlsx,18_19
2019-02-25,SAÍDA,material,1500.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,sede,45.1,,18_19.xlsx,18_19
2019-02-28,SAÍDA,evento mej,110.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,custo de projeto,55.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,material,800.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,sede,199.98,,18_19.xlsx,18_19
2019-02-28,SAÍDA,custo de vendas,331.78,,18_19.xlsx,18_19
2019-02-28,SAÍDA,material,2780.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,custo de projeto,1002.14,,18_19.xlsx,18_19
2019-02-28,SAÍDA,não categorizado,271.0,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-02-28,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-03-06,SAÍDA,taxa do banco,59.0,,18_19.xlsx,18_19
2019-03-07,SAÍDA,custo de projeto,30.0,,18_19.xlsx,18_19
2019-03-11,SAÍDA,jurídico,549.0,,18_19.xlsx,18_19
2019-03-11,SAÍDA,evento mej,85.0,,18_19.xlsx,18_19
2019-03-15,SAÍDA,custo de projeto,65.0,Cliente 001,18_19.xlsx,18_19
2019-03-15,SAÍDA,evento mej,110.0,,18_19.xlsx,18_19
2019-03-15,SAÍDA,material,105.0,,18_19.xlsx,18_19
2019-03-25,SAÍDA,material,792.0,,18_19.xlsx,18_19
2019-03-27,SAÍDA,material,792.0,,18_19.xlsx,18_19
2019-03-27,SAÍDA,evento mej,20.0,,18_19.xlsx,18_19
2019-04-01,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-04-01,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-04-01,SAÍDA,imposto,39.79,,18_19.xlsx,18_19
2019-04-01,SAÍDA,custo de projeto,1612.65,Cliente 001,18_19.xlsx,18_19
2019-04-01,SAÍDA,custo de projeto,1131.74,,18_19.xlsx,18_19
2019-04-02,SAÍDA,taxa do banco,59.0,,18_19.xlsx,18_19
2019-04-04,SAÍDA,imposto,46.77,,18_19.xlsx,18_19
2019-04-10,SAÍDA,custo de projeto,300.0,,18_19.xlsx,18_19
2019-04-16,SAÍDA,jurídico,134.52,,18_19.xlsx,18_19
2019-04-16,SAÍDA,trimestralidade,452.39,,18_19.xlsx,18_19
2019-04-16,SAÍDA,evento mej,85.0,,18_19.xlsx,18_19
2019-04-16,SAÍDA,evento mej,100.0,,18_19.xlsx,18_19
2019-04-16,SAÍDA,evento mej,100.0,,18_19.xlsx,18_19
2019-04-16,SAÍDA,não categorizado,314.75,,18_19.xlsx,18_19
2019-04-16,SAÍDA,não categorizado,218.75,,18_19.xlsx,18_19
2019-04-16,SAÍDA,sede,215.0,,18_19.xlsx,18_19
2019-04-22,SAÍDA,custo de projeto,2000.0,,18_19.xlsx,18_19
2019-04-22,SAÍDA,não categorizado,830.0,,18_19.xlsx,18_19
2019-04-24,SAÍDA,custo de projeto,1500.0,,18_19.xlsx,18_19
2019-04-25,SAÍDA,imersão,1900.0,,18_19.xlsx,18_19
2019-04-25,SAÍDA,material,22.9,,18_19.xlsx,18_19
2019-04-25,SAÍDA,imersão,1000.0,,18_19.xlsx,18_19
2019-04-25,SAÍDA,imersão,150.0,,18_19.xlsx,18_19
2019-04-25,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-04-29,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-04-29,SAÍDA,imersão,160.45,,18_19.xlsx,18_19
2019-04-29,SAÍDA,imersão,1500.0,,18_19.xlsx,18_19
2019-04-29,SAÍDA,não categorizado,50.0,,18_19.xlsx,18_19
2019-04-29,SAÍDA,imersão,1900.0,,18_19.xlsx,18_19
2019-04-30,SAÍDA,imersão,400.0,,18_19.xlsx,18_19
2019-04-30,SAÍDA,não categorizado,3.8,,18_19.xlsx,18_19
2019-05-03,SAÍDA,taxa do banco,59.0,,18_19.xlsx,18_19
2019-05-06,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-05-06,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-05-06,SAÍDA,custo de projeto,20.0,Cliente 001,18_19.xlsx,18_19
2019-05-06,SAÍDA,material,226.65,,18_19.xlsx,18_19
2019-05-06,SAÍDA,custo de projeto,184.3,,18_19.xlsx,18_19
2019-05-06,SAÍDA,imposto,21.79,,18_19.xlsx,18_19
2019-05-06,SAÍDA,custo de projeto,124.5,Cliente 001,18_19.xlsx,18_19
2019-05-06,SAÍDA,custo de projeto,162.8,,18_19.xlsx,18_19
2019-05-24,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-05-24,SAÍDA,custo de projeto,40.0,Cliente 001,18_19.xlsx,18_19
2019-05-24,SAÍDA,marketing,1241.63,,18_19.xlsx,18_19
2019-05-24,SAÍDA,evento mej,36.21,,18_19.xlsx,18_19
2019-05-24,SAÍDA,evento mej,38.32,,18_19.xlsx,18_19
2019-05-24,SAÍDA,custo de projeto,74.96,Cliente 001,18_19.xlsx,18_19
2019-05-28,SAÍDA,marketing,2598.14,,18_19.xlsx,18_19
2019-05-30,SAÍDA,marketing,830.0,,18_19.xlsx,18_19
2019-06-04,SAÍDA,taxa do banco,59.0,,18_19.xlsx,18_19
2019-06-04,SAÍDA,taxa do banco,2.2,,18_19.xlsx,18_19
2019-06-21,SAÍDA,contador,499.0,,18_19.xlsx,18_19
2019-06-21,SAÍDA,custo de projeto,1049.42,,18_19.xlsx,18_19
2019-06-21,SAÍDA,trimestralidade,467.39,,18_19.xlsx,18_19
2019-06-21,SAÍDA,marketing,2598.14,,18_19.xlsx,18_19
2019-06-28,SAÍDA,marketing,830.0,,18_19.xlsx,18_19
2019-07-02,SAÍDA,taxa do banco,59.0,,18_19.xlsx,18_19
2019-07-26,SAÍDA,marketing,2598.14,,18_19.xlsx,18_19
2019-07-24,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-07-24,SAÍDA,tarifas excedentes,10.6,,18_19.xlsx,18_19
2019-07-24,SAÍDA,custo de projeto,1529.2,Cliente 001,18_19.xlsx,18_19
2019-08-02,SAÍDA,não categorizado,10.6,,18_19.xlsx,18_19
2019-08-02,SAÍDA,imposto,199.36,,18_19.xlsx,18_19
2019-08-02,SAÍDA,imposto,176.89,,18_19.xlsx,18_19
2019-08-02,SAÍDA,projeto,1026.29,Cliente 001,18_19.xlsx,18_19
2019-08-02,SAÍDA,não categorizado,59.0,,18_19.xlsx,18_19
2019-08-07,SAÍDA,não categorizado,50.0,,18_19.xlsx,18_19
2019-08-07,SAÍDA,não categorizado,50.0,,18_19.xlsx,18_19
